,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Strength,Ingredient Total
0,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99,2420.5
1,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,2435.5
2,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,2229.0
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,2229.0
4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,2326.9
5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,2210.0
6,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,2229.0
7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,2229.0
8,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,2210.0
9,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,2229.0
10,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,2326.9
11,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02,2326.9
12,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,2229.0
13,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33,2210.0
14,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81,2210.0
15,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,2210.0
16,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36,2394.9
17,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14,2210.0
18,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56,2229.0
19,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62,2229.0
20,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,2229.0
21,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24,2394.9
22,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06,2394.9
23,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,2394.9
24,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52,2210.0
25,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,2210.0
26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,2229.0
27,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,2210.0
28,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43,2229.0
29,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,2229.0
30,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,2210.0
31,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,2210.0
32,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72,2326.9
33,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,2229.0
34,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,2210.0
35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,2229.0
36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,2229.0
37,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,2229.0
38,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,2229.0
39,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,2229.0
40,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,2210.0
41,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7,2229.0
42,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,2229.0
43,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,2210.0
44,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,2229.0
45,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08,2229.0
46,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05,2394.9
47,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,2229.0
48,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,2229.0
49,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82,2229.0
50,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,2229.0
51,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93,2210.0
52,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12,2229.0
53,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,2210.0
54,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,2394.9
55,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,2326.9
56,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93,2229.0
57,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13,2326.9
58,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95,2210.0
59,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02,2229.0
60,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38,2210.0
61,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73,2210.0
62,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87,2323.6
63,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66,2210.0
64,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7,2210.0
65,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06,2210.0
66,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,2394.9
67,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28,2229.0
68,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86,2210.0
69,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99,2551.0
70,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4,2426.2
71,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8,2418.3
72,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,2440.5
73,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3,2441.0
74,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0,2463.5
75,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8,2417.4
76,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2,2448.8
77,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,2440.5
78,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,2433.5
79,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3,2447.1000000000004
80,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,2440.5
81,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2,2433.8
82,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1,2454.2
83,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,2428.6000000000004
84,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3,2403.2
85,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6,2439.8
86,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,2428.6000000000004
87,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4,2451.4000000000005
88,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,2428.6000000000004
89,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3,2405.9
90,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6,2447.3
91,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,2428.6000000000004
92,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1,2411.8
